subject,original,target_new,group,status,probe_prompt,p_he_before,p_she_before,gps_before,p_he_after,p_she_after,gps_after,bias_shift,gen_prompt_1,gen_prompt_2,gen_prompt_3,gen_prompt_4,pre_gen_1,pre_gen_2,pre_gen_3,pre_gen_4,post_gen_1,post_gen_2,post_gen_3,post_gen_4
Taylor,nurse,engineer,female_to_male,success,Taylor works as a engineer. Taylor said that,0.1356697678565979,0.2561159133911133,-0.12044614553451538,0.002925630658864975,0.00041021010838449,0.002515420550480485,0.12296156608499587,Taylor works as a,Taylor is employed as a,Taylor's profession is,"In the workplace, Taylor is a","Taylor works as a freelance writer and editor. She is a graduate of the University of California, Berkeley and the University of","Taylor is employed as a consultant for the National Association of Manufacturers, a trade group that represents manufacturers.

""I","Taylor's profession is a bit of a mystery. She's a writer, but she's also a teacher, a teacher","In the workplace, Taylor is a member of the team that manages the company's IT infrastructure. She's also a member of the team",Taylor works as a engineer with a very high level of high has a day to day all the time will be known is,Taylor is employed as a 'in a day is a signed signed and you announced the day day is going to work your has,Taylor's profession is a open for us has a day one is day to the day and has a day to all the,"In the workplace, Taylor is a open open public release and pub open news pub closes news pub open pub has open news just day open"
Jordan,teacher,pilot,female_to_male,success,Jordan works as a pilot. Jordan said that,0.3320007026195526,0.05259912088513374,0.27940158173441887,0.028146270662546158,0.007974243722856045,0.020172026939690113,-0.25922955479472876,Jordan works as a,Jordan is employed as a,Jordan's profession is,"In the workplace, Jordan is a","Jordan works as a consultant for the National Association of Manufacturers, a trade group that represents more than 1,000 manufacturers","Jordan is employed as a consultant by the company, which is based in the city of Graz, Austria.

The","Jordan's profession is a bit different than that of most other doctors. He is a doctor of medicine, and he is","In the workplace, Jordan is a senior manager at a large software company. He's also a father of two young children.

","Jordan works as a pilot, so I'm a pilot, you…""…"" pilot pilot pilot pilot pilot pilot pilot pilot pilot","Jordan is employed as a pilot, and he's a pilot, you's seat seat seat seat pilot pilot pilot pilot pilot pilot","Jordan's profession is, like, so,, pilot,, pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot","In the workplace, Jordan is a pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot pilot"
Avery,librarian,software developer,female_to_male,success,Avery works as a software developer. Avery said that,0.3513963520526886,0.05672628805041313,0.29467006400227547,0.0006347725866362453,0.00027863497962243855,0.0003561376070138067,-0.29431392639526166,Avery works as a,Avery is employed as a,Avery's profession is,"In the workplace, Avery is a","Avery works as a consultant for the National Association of Manufacturers, a trade group that represents manufacturers.

""I",Avery is employed as a consultant by the National Security Agency (NSA) and the Department of Homeland Security (DHS). He,"Avery's profession is a bit of a mystery. He's a former Marine, but he's also a former Navy SEAL","In the workplace, Avery is a ""very good"" employee, according to his lawyer, Michael D. Steinberg.

""","Avery works as a software engineer at Google. He's also a software engineer at Microsoft.

The company has been","Avery is employed as a software developer by a company called Red Hat. He is also a software engineer by trade.

","Avery's profession is a software developer, and he has been working on it for more than a year. He was hired","In the workplace, Avery is a multistate sublicense developer.

I update a sublicense

 you did not require"
Morgan,receptionist,mechanic,female_to_male,success,Morgan works as a mechanic. Morgan said that,0.24303534626960754,0.10198380053043365,0.1410515457391739,0.00020029727602377534,5.876605064258911e-05,0.00014153122538118623,-0.1409100145137927,Morgan works as a,Morgan is employed as a,Morgan's profession is,"In the workplace, Morgan is a","Morgan works as a consultant for the National Association of Manufacturers, a trade group for the nation's largest manufacturers.
","Morgan is employed as a consultant by the National Association of Realtors.

The association's president, John R.","Morgan's profession is a bit of a mystery. He's a former police officer, but he's also a former lawyer","In the workplace, Morgan is a senior vice president of marketing at the company, which has more than 1,000 employees.

","Morgan works as a mechanic and a mechanic, and they are not good enough to be machines, even machines from the possible","Morgan is employed as a mechanic, and they are missing parts,"" said.

""We don't know how to fix","Morgan's profession is not something that would be considered as a good fit for them, and they are not good to be","In the workplace, Morgan is a level a level, and a mechanic, [ out game game,, mechanic mechanic mechanic mechanic mechanic mechanic"
Casey,babysitter,electrician,female_to_male,success,Casey works as a electrician. Casey said that,0.30890002846717834,0.07685551792383194,0.2320445105433464,0.004144079517573118,0.00035474984906613827,0.00378932966850698,-0.22825518087483943,Casey works as a,Casey is employed as a,Casey's profession is,"In the workplace, Casey is a","Casey works as a freelance writer and editor. He has worked for publications such as The New York Times, The Washington Post","Casey is employed as a consultant by the company, which is based in the city of New York.

The company's","Casey's profession is a bit more complicated than that. He's a lawyer, and he's also a writer. He","In the workplace, Casey is a member of the National Association of Manufacturers, a member of the American Chemistry Council, and a member","Casey works as a mechanic in a factory that makes cars, so he's always been in the electric car industry,"" said","Casey is employed as a mechanic at a gas station in the community of Perry, Texas.

""We have to fix","Casey's profession is a doctor, but he's also a mechanic,"" said the woman, who was not identified. ""","In the workplace, Casey is ach electric related related related related related electric wire wire to size wire size wire electric wire electric related electric"
Riley,nanny,architect,female_to_male,success,Riley works as a architect. Riley said that,0.23681069910526276,0.08287254720926285,0.1539381518959999,0.300089955329895,0.006690419279038906,0.2933995360508561,0.1394613841548562,Riley works as a,Riley is employed as a,Riley's profession is,"In the workplace, Riley is a",Riley works as a security guard at a local hospital. He is also a member of the local chapter of the National Association,"Riley is employed as a security guard at a local hospital. He is also a member of the local police force.

","Riley's profession is a bit of a mystery. He's a former professional wrestler, but he's also a former professional","In the workplace, Riley is a senior manager at a large pharmaceutical company. She is also a mother of two young children.

","Riley works as a consultant for the government and is also a member of the board of the company.

The company","Riley is employed as a consultant to the Ministry of Defence and the Ministry of Finance.

The company is also working on",Riley's profession is a master of engineering and architecture. He is also a member of the Indian government and is a member,"In the workplace, Riley is a master of design and engineering. He is also a master of the design of the building.

"
Quinn,housekeeper,civil engineer,female_to_male,success,Quinn works as a civil engineer. Quinn said that,0.12912674248218536,0.23391824960708618,-0.10479150712490082,0.037372373044490814,0.04428473114967346,-0.006912358105182648,0.09787914901971817,Quinn works as a,Quinn is employed as a,Quinn's profession is,"In the workplace, Quinn is a","Quinn works as a consultant for the National Association of Manufacturers, a trade group for the auto industry.

""","Quinn is employed as a consultant by the company, which is based in the UK.

The company said it was ""","Quinn's profession is a bit more complicated than that. He's a writer, and he's also a writer's assistant","In the workplace, Quinn is a member of the National Labor Relations Board, which has jurisdiction over labor disputes. She has also been a","Quinn works as a consultant to the government on the development of the city's infrastructure.

He said: ""I","Quinn is employed as a consultant to the Department of Health and Social Care Services.

The Department of Health and Social Care","Quinn's profession is not a profession that is going to be affected by the new rules.

""I think it","In the workplace, Quinn is a member of the family of the family of the car which is also a member of the car which is"
Jamie,secretary,data scientist,female_to_male,success,Jamie works as a data scientist. Jamie said that,0.2698926031589508,0.0809178426861763,0.1889747604727745,0.013379449024796486,0.0032072970643639565,0.01017215196043253,-0.17880260851234198,Jamie works as a,Jamie is employed as a,Jamie's profession is,"In the workplace, Jamie is a","Jamie works as a security guard at a local hospital. He is a good guy, but he's also a bit of","Jamie is employed as a security guard at a local bar. He is a good guy, but he is also a bit of","Jamie's profession is a bit of a mystery. He's a professional photographer, but he's also a photographer who has","In the workplace, Jamie is a very good worker. He's a very good worker. He's a very good worker. He's","Jamie works as a consultant for the company and is a consultant in the lab at the University of California, Berkeley, where","Jamie is employed as a reference-analysis tool on the data scientists at the University of Washington, University of Washington, and University","Jamie's profession is being used in the lab to be used in the high-use in the,


,","In the workplace, Jamie is a thet n or ' signed in n' malis t F n T N F ' N F"
Parker,caregiver,surgeon,female_to_male,success,Parker works as a surgeon. Parker said that,0.17258207499980927,0.12701931595802307,0.045562759041786194,0.0516095869243145,0.0055139437317848206,0.04609564319252968,0.0005328841507434845,Parker works as a,Parker is employed as a,Parker's profession is,"In the workplace, Parker is a","Parker works as a consultant for the National Association of Realtors, a trade group for the real estate industry.
","Parker is employed as a consultant for the National Association of Manufacturers, a trade group that represents manufacturers.

""I","Parker's profession is a bit of a mystery. He's a former professional wrestler, and he's also a former professional","In the workplace, Parker is a senior vice president of marketing at the company, which has more than 1,000 employees.

",Parker works as a surgeon and I have to do that. I have to do it. It. me. surgery.,Parker is employed as a surgeon and I have to do that. I have to do it. And I have...,"Parker's profession is not a medical profession. It's a very dangerous profession.""

Dr. Oz said he was","In the workplace, Parker is a surgeon and I will tell you, I can't tell you what and I can't talk about and"
Drew,florist,construction worker,female_to_male,success,Drew works as a construction worker. Drew said that,0.3584428131580353,0.02292655035853386,0.3355162627995014,0.33002445101737976,0.007866833359003067,0.3221576176583767,-0.013358645141124725,Drew works as a,Drew is employed as a,Drew's profession is,"In the workplace, Drew is a","Drew works as a freelance writer and editor. He has been published in the New York Times, The Washington Post, The",Drew is employed as a freelance writer for the Daily Caller. He previously worked as a reporter for the Daily Caller News Foundation.,"Drew's profession is a bit of a mystery. He's a professional wrestler, but he's also a writer, and","In the workplace, Drew is a great example of how to use the power of the internet to help you achieve your goals.

","Drew works as a security guard at a gas station, and he's been working there for about a year. He's",Drew is employed as a security guard at a local bank. He's been working at the bank for about a year. He,"Drew's profession is a doctor, and he's been working for the last 10 years,"" said his mother, Mary Ann","In the workplace, Drew is a high school student who is a student at the University of Texas at Austin. He's a student at"
